0.0352941176 0.0666666667 0.0823529412 0.0588235294 0.0705882353 0.0627450980 0.0392156863 0.0862745098 0.1058823529 0.0784313725 0.0705882353 0.0509803922 0.0431372549 0.0313725490 0.0196078431 0.0156862745 0.0196078431 0.0196078431 0.0196078431 0.0196078431 0.0156862745 0.0274509804 0.0196078431 0.0235294118 0.0470588235 0.1019607843 0.0941176471 0.0431372549 0.0509803922 0.1019607843 0.0901960784 0.0509803922 0.0274509804 0.0274509804 0.0196078431 0.0156862745 0.0196078431 0.0196078431 0.0156862745 0.0117647059 0.0156862745 0.0117647059 0.0117647059 0.0509803922 0.0784313725 0.1215686275 0.1098039216 0.0274509804 0.0235294118 0.0156862745 0.0196078431 0.0156862745 0.0156862745 0.0196078431 0.0235294118 0.0235294118 0.0196078431 0.0117647059 0.0196078431 0.0235294118 0.0196078431 0.0156862745 0.0196078431 0.0156862745 0.0156862745 0.0117647059 0.0156862745 0.0235294118 0.0235294118 0.0196078431 0.0196078431 0.0156862745 0.0313725490 0.0941176471 0.0431372549 0.0235294118 0.0313725490 0.0352941176 0.0509803922 0.0784313725 0.0588235294 0.0549019608 0.0235294118 0.0156862745 0.0352941176 0.0627450980 0.0313725490 0.0235294118 0.0235294118 0.0470588235 0.0352941176 0.0392156863 0.0352941176 0.0196078431 0.0196078431 0.0235294118 0.0313725490 0.0274509804 0.0274509804 0.0313725490
0.0392156863 0.0745098039 0.0627450980 0.0352941176 0.0274509804 0.0235294118 0.0352941176 0.0666666667 0.1725490196 0.1529411765 0.0784313725 0.0862745098 0.0666666667 0.0352941176 0.0196078431 0.0196078431 0.0156862745 0.0117647059 0.0196078431 0.0235294118 0.0196078431 0.0274509804 0.0156862745 0.0235294118 0.0352941176 0.0470588235 0.0352941176 0.0274509804 0.0352941176 0.0705882353 0.0901960784 0.0862745098 0.0588235294 0.0235294118 0.0235294118 0.0274509804 0.0352941176 0.0274509804 0.0235294118 0.0117647059 0.0156862745 0.0156862745 0.0549019608 0.0509803922 0.0392156863 0.0313725490 0.0352941176 0.0235294118 0.0196078431 0.0117647059 0.0235294118 0.0156862745 0.0117647059 0.0156862745 0.0235294118 0.0235294118 0.0196078431 0.0156862745 0.0235294118 0.0196078431 0.0274509804 0.0196078431 0.0196078431 0.0156862745 0.0156862745 0.0156862745 0.0156862745 0.0196078431 0.0196078431 0.0156862745 0.0156862745 0.0313725490 0.0509803922 0.0784313725 0.0313725490 0.0156862745 0.0235294118 0.0235294118 0.0196078431 0.0509803922 0.0666666667 0.0588235294 0.0274509804 0.0313725490 0.0745098039 0.0823529412 0.0235294118 0.0156862745 0.0156862745 0.0235294118 0.0352941176 0.0470588235 0.0274509804 0.0235294118 0.0274509804 0.0235294118 0.0235294118 0.0274509804 0.0352941176 0.0470588235
0.0470588235 0.1254901961 0.0823529412 0.0431372549 0.0235294118 0.0274509804 0.0431372549 0.0431372549 0.0745098039 0.2000000000 0.1019607843 0.0588235294 0.0509803922 0.0235294118 0.0196078431 0.0196078431 0.0156862745 0.0117647059 0.0196078431 0.0235294118 0.0235294118 0.0196078431 0.0235294118 0.0235294118 0.0235294118 0.0392156863 0.0235294118 0.0235294118 0.0235294118 0.0470588235 0.0588235294 0.0666666667 0.0745098039 0.1725490196 0.0941176471 0.0470588235 0.0392156863 0.0431372549 0.0274509804 0.0156862745 0.0196078431 0.0549019608 0.0862745098 0.0274509804 0.0274509804 0.0352941176 0.0274509804 0.0431372549 0.0235294118 0.0117647059 0.0156862745 0.0156862745 0.0156862745 0.0235294118 0.0196078431 0.0196078431 0.0196078431 0.0156862745 0.0235294118 0.0196078431 0.0235294118 0.0196078431 0.0196078431 0.0196078431 0.0235294118 0.0196078431 0.0352941176 0.0274509804 0.0196078431 0.0313725490 0.0196078431 0.0588235294 0.0784313725 0.0745098039 0.0470588235 0.0196078431 0.0274509804 0.0196078431 0.0196078431 0.0549019608 0.0549019608 0.0588235294 0.0509803922 0.0549019608 0.0941176471 0.0941176471 0.0549019608 0.0117647059 0.0156862745 0.0196078431 0.0549019608 0.0588235294 0.0313725490 0.0235294118 0.0235294118 0.0274509804 0.0274509804 0.0196078431 0.0235294118 0.0392156863
0.0352941176 0.0823529412 0.0392156863 0.0313725490 0.0352941176 0.0313725490 0.0313725490 0.0392156863 0.0470588235 0.1176470588 0.0666666667 0.0235294118 0.0313725490 0.0431372549 0.0352941176 0.0274509804 0.0156862745 0.0117647059 0.0196078431 0.0196078431 0.0196078431 0.0196078431 0.0196078431 0.0196078431 0.0156862745 0.0313725490 0.0235294118 0.0313725490 0.0196078431 0.0196078431 0.0392156863 0.0588235294 0.0784313725 0.2156862745 0.1058823529 0.0627450980 0.0549019608 0.0549019608 0.0509803922 0.0235294118 0.0431372549 0.0627450980 0.0627450980 0.0392156863 0.0431372549 0.0745098039 0.0352941176 0.0156862745 0.0156862745 0.0196078431 0.0156862745 0.0156862745 0.0274509804 0.0196078431 0.0156862745 0.0196078431 0.0392156863 0.0196078431 0.0156862745 0.0196078431 0.0196078431 0.0196078431 0.0235294118 0.0274509804 0.0196078431 0.0156862745 0.0235294118 0.0392156863 0.0313725490 0.0549019608 0.0431372549 0.0470588235 0.0666666667 0.0901960784 0.0470588235 0.0352941176 0.0235294118 0.0274509804 0.0196078431 0.0313725490 0.0588235294 0.0823529412 0.1137254902 0.0705882353 0.0470588235 0.0745098039 0.0509803922 0.0156862745 0.0196078431 0.0352941176 0.0823529412 0.0588235294 0.0352941176 0.0235294118 0.0235294118 0.0235294118 0.0235294118 0.0196078431 0.0156862745 0.0156862745
0.0274509804 0.0274509804 0.0274509804 0.0274509804 0.0274509804 0.0431372549 0.0352941176 0.0274509804 0.0352941176 0.0313725490 0.0313725490 0.0156862745 0.0235294118 0.0627450980 0.0509803922 0.0196078431 0.0196078431 0.0156862745 0.0156862745 0.0274509804 0.0274509804 0.0196078431 0.0196078431 0.0117647059 0.0156862745 0.0549019608 0.0235294118 0.0274509804 0.0156862745 0.0235294118 0.0431372549 0.0705882353 0.0745098039 0.0392156863 0.0392156863 0.0274509804 0.0352941176 0.0431372549 0.0549019608 0.0392156863 0.0588235294 0.2117647059 0.1254901961 0.0980392157 0.1176470588 0.1803921569 0.0705882353 0.0196078431 0.0235294118 0.0235294118 0.0156862745 0.0156862745 0.0156862745 0.0117647059 0.0156862745 0.0156862745 0.0156862745 0.0196078431 0.0196078431 0.0235294118 0.0313725490 0.0274509804 0.0156862745 0.0156862745 0.0117647059 0.0196078431 0.0352941176 0.0509803922 0.1019607843 0.1058823529 0.0627450980 0.0627450980 0.0666666667 0.0392156863 0.0431372549 0.0392156863 0.0274509804 0.0392156863 0.0274509804 0.0274509804 0.0470588235 0.0588235294 0.1411764706 0.0862745098 0.0509803922 0.0784313725 0.0627450980 0.0274509804 0.0235294118 0.0549019608 0.0666666667 0.0745098039 0.0392156863 0.0274509804 0.0313725490 0.0235294118 0.0196078431 0.0196078431 0.0235294118 0.0352941176
0.0196078431 0.0352941176 0.0274509804 0.0196078431 0.0235294118 0.0470588235 0.0313725490 0.0235294118 0.0274509804 0.0235294118 0.0235294118 0.0196078431 0.0196078431 0.0588235294 0.1176470588 0.0862745098 0.0431372549 0.0235294118 0.0196078431 0.0196078431 0.0235294118 0.0274509804 0.0156862745 0.0117647059 0.0235294118 0.0392156863 0.0117647059 0.0274509804 0.0313725490 0.0156862745 0.0274509804 0.0549019608 0.0509803922 0.0549019608 0.0431372549 0.0352941176 0.0274509804 0.0313725490 0.0627450980 0.0509803922 0.1137254902 0.2470588235 0.1215686275 0.1058823529 0.0784313725 0.1882352941 0.0980392157 0.0078431373 0.0196078431 0.0196078431 0.0196078431 0.0156862745 0.0156862745 0.0156862745 0.0196078431 0.0235294118 0.0196078431 0.0196078431 0.0196078431 0.0235294118 0.0235294118 0.0274509804 0.0156862745 0.0156862745 0.0156862745 0.0156862745 0.0274509804 0.0352941176 0.0588235294 0.0313725490 0.0392156863 0.0823529412 0.1019607843 0.0470588235 0.0392156863 0.0274509804 0.0313725490 0.0274509804 0.0470588235 0.0274509804 0.0274509804 0.0509803922 0.1058823529 0.0862745098 0.0392156863 0.0588235294 0.0705882353 0.0705882353 0.0666666667 0.0705882353 0.0392156863 0.0431372549 0.0392156863 0.0509803922 0.0392156863 0.0235294118 0.0156862745 0.0196078431 0.0274509804 0.0509803922
0.0196078431 0.0313725490 0.0235294118 0.0196078431 0.0156862745 0.0196078431 0.0235294118 0.0235294118 0.0235294118 0.0313725490 0.0352941176 0.0235294118 0.0235294118 0.0470588235 0.0980392157 0.0901960784 0.0549019608 0.0235294118 0.0235294118 0.0156862745 0.0196078431 0.0274509804 0.0156862745 0.0274509804 0.0470588235 0.0196078431 0.0156862745 0.0235294118 0.0313725490 0.0117647059 0.0196078431 0.0509803922 0.0509803922 0.0588235294 0.0784313725 0.0588235294 0.0313725490 0.0509803922 0.0666666667 0.0941176471 0.0901960784 0.0901960784 0.1176470588 0.1137254902 0.0980392157 0.1372549020 0.0980392157 0.0313725490 0.0235294118 0.0117647059 0.0117647059 0.0117647059 0.0117647059 0.0235294118 0.0274509804 0.0196078431 0.0196078431 0.0156862745 0.0196078431 0.0235294118 0.0196078431 0.0274509804 0.0235294118 0.0352941176 0.0313725490 0.0156862745 0.0196078431 0.0235294118 0.0156862745 0.0196078431 0.0352941176 0.0745098039 0.0901960784 0.0980392157 0.0549019608 0.0235294118 0.0235294118 0.0196078431 0.0313725490 0.0196078431 0.0196078431 0.0431372549 0.0705882353 0.0980392157 0.0196078431 0.0431372549 0.0627450980 0.1019607843 0.0862745098 0.0980392157 0.0274509804 0.0901960784 0.1490196078 0.0470588235 0.0235294118 0.0235294118 0.0196078431 0.0156862745 0.0235294118 0.0313725490
0.0196078431 0.0235294118 0.0196078431 0.0156862745 0.0196078431 0.0235294118 0.0156862745 0.0156862745 0.0274509804 0.0470588235 0.0352941176 0.0274509804 0.0235294118 0.0235294118 0.0352941176 0.0431372549 0.0392156863 0.0313725490 0.0352941176 0.0196078431 0.0196078431 0.0274509804 0.0196078431 0.0235294118 0.0274509804 0.0313725490 0.0274509804 0.0156862745 0.0235294118 0.0274509804 0.0313725490 0.0470588235 0.0431372549 0.0352941176 0.0352941176 0.0588235294 0.0509803922 0.0823529412 0.0862745098 0.1058823529 0.0627450980 0.0549019608 0.0823529412 0.0941176471 0.1411764706 0.1333333333 0.1176470588 0.0627450980 0.0156862745 0.0156862745 0.0274509804 0.0156862745 0.0313725490 0.0235294118 0.0156862745 0.0156862745 0.0196078431 0.0196078431 0.0196078431 0.0196078431 0.0156862745 0.0156862745 0.0156862745 0.0313725490 0.0431372549 0.0156862745 0.0196078431 0.0196078431 0.0156862745 0.0196078431 0.0313725490 0.0509803922 0.0705882353 0.0901960784 0.1137254902 0.0274509804 0.0196078431 0.0196078431 0.0196078431 0.0235294118 0.0196078431 0.0392156863 0.0705882353 0.0901960784 0.0313725490 0.0392156863 0.0509803922 0.0784313725 0.0784313725 0.1019607843 0.0588235294 0.1058823529 0.1803921569 0.0784313725 0.0470588235 0.0274509804 0.0313725490 0.0392156863 0.0470588235 0.0352941176
0.0235294118 0.0196078431 0.0196078431 0.0196078431 0.0235294118 0.0235294118 0.0196078431 0.0196078431 0.0156862745 0.0313725490 0.0235294118 0.0235294118 0.0196078431 0.0156862745 0.0235294118 0.0235294118 0.0235294118 0.0352941176 0.0196078431 0.0196078431 0.0117647059 0.0196078431 0.0196078431 0.0156862745 0.0274509804 0.0274509804 0.0274509804 0.0156862745 0.0392156863 0.0431372549 0.0823529412 0.0666666667 0.0509803922 0.0549019608 0.0392156863 0.0549019608 0.0862745098 0.1725490196 0.0705882353 0.0470588235 0.0274509804 0.0588235294 0.0823529412 0.0627450980 0.0784313725 0.0705882353 0.1098039216 0.0901960784 0.0862745098 0.0588235294 0.0392156863 0.0156862745 0.0235294118 0.0196078431 0.0117647059 0.0196078431 0.0196078431 0.0156862745 0.0235294118 0.0117647059 0.0117647059 0.0156862745 0.0196078431 0.0156862745 0.0196078431 0.0156862745 0.0156862745 0.0274509804 0.0156862745 0.0352941176 0.0313725490 0.0392156863 0.0627450980 0.0823529412 0.1450980392 0.0313725490 0.0196078431 0.0196078431 0.0274509804 0.0313725490 0.0313725490 0.0392156863 0.0941176471 0.0745098039 0.0431372549 0.0235294118 0.0274509804 0.0823529412 0.0509803922 0.0470588235 0.0862745098 0.0588235294 0.0588235294 0.0745098039 0.0980392157 0.0470588235 0.0313725490 0.0274509804 0.0313725490 0.0352941176
0.0313725490 0.0196078431 0.0274509804 0.0313725490 0.0196078431 0.0235294118 0.0235294118 0.0235294118 0.0117647059 0.0235294118 0.0274509804 0.0196078431 0.0156862745 0.0196078431 0.0235294118 0.0235294118 0.0156862745 0.0156862745 0.0196078431 0.0196078431 0.0196078431 0.0156862745 0.0156862745 0.0235294118 0.0392156863 0.0352941176 0.0470588235 0.0313725490 0.0705882353 0.0431372549 0.0588235294 0.0588235294 0.0470588235 0.0431372549 0.0392156863 0.0627450980 0.0901960784 0.0666666667 0.0392156863 0.0196078431 0.0156862745 0.0196078431 0.0431372549 0.0509803922 0.0549019608 0.0588235294 0.1294117647 0.0901960784 0.1215686275 0.1098039216 0.0588235294 0.0274509804 0.0156862745 0.0274509804 0.0313725490 0.0196078431 0.0352941176 0.0196078431 0.0196078431 0.0156862745 0.0196078431 0.0156862745 0.0274509804 0.0156862745 0.0156862745 0.0196078431 0.0196078431 0.0235294118 0.0156862745 0.0196078431 0.0274509804 0.0470588235 0.0588235294 0.0509803922 0.1019607843 0.0509803922 0.0274509804 0.0156862745 0.0470588235 0.0313725490 0.0352941176 0.0666666667 0.0823529412 0.0666666667 0.0431372549 0.0196078431 0.0156862745 0.0313725490 0.0509803922 0.0431372549 0.0352941176 0.0313725490 0.0235294118 0.0196078431 0.0745098039 0.0823529412 0.0352941176 0.0156862745 0.0235294118 0.0235294118
0.0274509804 0.0235294118 0.0235294118 0.0274509804 0.0235294118 0.0235294118 0.0235294118 0.0156862745 0.0156862745 0.0274509804 0.0274509804 0.0196078431 0.0196078431 0.0352941176 0.0352941176 0.0235294118 0.0196078431 0.0196078431 0.0235294118 0.0235294118 0.0274509804 0.0156862745 0.0235294118 0.0274509804 0.0392156863 0.0470588235 0.0980392157 0.0666666667 0.0666666667 0.0313725490 0.0235294118 0.0313725490 0.0392156863 0.0509803922 0.0313725490 0.0509803922 0.0470588235 0.0352941176 0.0509803922 0.0274509804 0.0196078431 0.0117647059 0.0196078431 0.0274509804 0.0588235294 0.0549019608 0.1254901961 0.0745098039 0.0784313725 0.0901960784 0.1176470588 0.0823529412 0.0352941176 0.0470588235 0.0392156863 0.0352941176 0.0431372549 0.0392156863 0.0196078431 0.0235294118 0.0274509804 0.0156862745 0.0196078431 0.0156862745 0.0156862745 0.0196078431 0.0156862745 0.0196078431 0.0117647059 0.0196078431 0.0156862745 0.0352941176 0.0392156863 0.0156862745 0.0627450980 0.0627450980 0.0196078431 0.0274509804 0.0313725490 0.0156862745 0.0470588235 0.1411764706 0.0862745098 0.0392156863 0.0196078431 0.0274509804 0.0235294118 0.0156862745 0.0470588235 0.0470588235 0.0274509804 0.0274509804 0.0196078431 0.0156862745 0.0274509804 0.0627450980 0.0509803922 0.0156862745 0.0196078431 0.0235294118
0.0352941176 0.0235294118 0.0274509804 0.0313725490 0.0235294118 0.0156862745 0.0196078431 0.0156862745 0.0235294118 0.0235294118 0.0196078431 0.0156862745 0.0235294118 0.0352941176 0.0392156863 0.0156862745 0.0235294118 0.0274509804 0.0196078431 0.0196078431 0.0156862745 0.0156862745 0.0352941176 0.0196078431 0.0313725490 0.0392156863 0.0980392157 0.0588235294 0.0313725490 0.0352941176 0.0470588235 0.0274509804 0.0509803922 0.0549019608 0.0313725490 0.0313725490 0.0235294118 0.0313725490 0.0274509804 0.0156862745 0.0196078431 0.0156862745 0.0156862745 0.0274509804 0.0666666667 0.0431372549 0.0392156863 0.0431372549 0.0313725490 0.0313725490 0.0980392157 0.1607843137 0.1058823529 0.0862745098 0.0705882353 0.0823529412 0.0549019608 0.0627450980 0.0352941176 0.0392156863 0.0313725490 0.0235294118 0.0196078431 0.0156862745 0.0117647059 0.0117647059 0.0156862745 0.0235294118 0.0196078431 0.0196078431 0.0117647059 0.0156862745 0.0196078431 0.0117647059 0.0352941176 0.0627450980 0.0509803922 0.0549019608 0.0549019608 0.0549019608 0.0784313725 0.0941176471 0.0745098039 0.0313725490 0.0196078431 0.0235294118 0.0235294118 0.0235294118 0.0274509804 0.0352941176 0.0274509804 0.0196078431 0.0196078431 0.0235294118 0.0274509804 0.0470588235 0.0274509804 0.0156862745 0.0196078431 0.0313725490
0.0470588235 0.0509803922 0.0196078431 0.0274509804 0.0274509804 0.0156862745 0.0235294118 0.0235294118 0.0196078431 0.0196078431 0.0274509804 0.0235294118 0.0235294118 0.0156862745 0.0156862745 0.0196078431 0.0235294118 0.0196078431 0.0156862745 0.0117647059 0.0156862745 0.0156862745 0.0274509804 0.0235294118 0.0235294118 0.0627450980 0.1450980392 0.0509803922 0.0274509804 0.0392156863 0.0352941176 0.0274509804 0.0313725490 0.0274509804 0.0313725490 0.0352941176 0.0235294118 0.0235294118 0.0196078431 0.0156862745 0.0156862745 0.0117647059 0.0235294118 0.0470588235 0.1058823529 0.0666666667 0.0235294118 0.0196078431 0.0196078431 0.0235294118 0.0196078431 0.0196078431 0.0549019608 0.0705882353 0.0627450980 0.0509803922 0.0588235294 0.0705882353 0.0392156863 0.0196078431 0.0117647059 0.0117647059 0.0117647059 0.0117647059 0.0156862745 0.0274509804 0.0117647059 0.0235294118 0.0196078431 0.0196078431 0.0117647059 0.0117647059 0.0156862745 0.0196078431 0.0392156863 0.0274509804 0.0352941176 0.0588235294 0.0509803922 0.0745098039 0.0745098039 0.0431372549 0.0352941176 0.0235294118 0.0196078431 0.0196078431 0.0156862745 0.0235294118 0.0352941176 0.0588235294 0.0352941176 0.0313725490 0.0196078431 0.0235294118 0.0235294118 0.0274509804 0.0196078431 0.0156862745 0.0313725490 0.0352941176
0.0274509804 0.0470588235 0.0196078431 0.0196078431 0.0313725490 0.0235294118 0.0235294118 0.0196078431 0.0235294118 0.0352941176 0.0313725490 0.0352941176 0.0196078431 0.0196078431 0.0156862745 0.0196078431 0.0352941176 0.0196078431 0.0196078431 0.0156862745 0.0156862745 0.0196078431 0.0156862745 0.0274509804 0.0313725490 0.1254901961 0.1764705882 0.0470588235 0.0313725490 0.0431372549 0.0509803922 0.0431372549 0.0313725490 0.0274509804 0.0196078431 0.0156862745 0.0196078431 0.0392156863 0.0274509804 0.0156862745 0.0196078431 0.0431372549 0.0509803922 0.0705882353 0.1254901961 0.0941176471 0.0392156863 0.0117647059 0.0156862745 0.0196078431 0.0156862745 0.0117647059 0.0352941176 0.0431372549 0.0352941176 0.0509803922 0.0549019608 0.1333333333 0.0745098039 0.0352941176 0.0196078431 0.0156862745 0.0117647059 0.0156862745 0.0235294118 0.0274509804 0.0117647059 0.0196078431 0.0196078431 0.0117647059 0.0156862745 0.0156862745 0.0156862745 0.0196078431 0.0509803922 0.0313725490 0.0156862745 0.0313725490 0.0313725490 0.0235294118 0.0392156863 0.0313725490 0.0392156863 0.0509803922 0.0117647059 0.0156862745 0.0196078431 0.0196078431 0.0352941176 0.0823529412 0.0823529412 0.0862745098 0.0352941176 0.0235294118 0.0313725490 0.0235294118 0.0313725490 0.0235294118 0.0352941176 0.0470588235
0.0313725490 0.0352941176 0.0235294118 0.0196078431 0.0274509804 0.0313725490 0.0352941176 0.0235294118 0.0117647059 0.0235294118 0.0313725490 0.0313725490 0.0156862745 0.0235294118 0.0196078431 0.0196078431 0.0156862745 0.0196078431 0.0235294118 0.0196078431 0.0117647059 0.0196078431 0.0235294118 0.0313725490 0.0392156863 0.1372549020 0.0941176471 0.0509803922 0.0666666667 0.1019607843 0.1215686275 0.0666666667 0.0313725490 0.0196078431 0.0196078431 0.0156862745 0.0117647059 0.0352941176 0.0235294118 0.0156862745 0.0156862745 0.0352941176 0.0392156863 0.0941176471 0.1254901961 0.1019607843 0.0274509804 0.0156862745 0.0235294118 0.0196078431 0.0156862745 0.0431372549 0.0470588235 0.0431372549 0.0392156863 0.0509803922 0.0745098039 0.1921568627 0.1686274510 0.0431372549 0.0627450980 0.0470588235 0.0392156863 0.0352941176 0.0352941176 0.0196078431 0.0156862745 0.0156862745 0.0156862745 0.0156862745 0.0235294118 0.0235294118 0.0156862745 0.0235294118 0.0431372549 0.0549019608 0.0352941176 0.0235294118 0.0196078431 0.0156862745 0.0235294118 0.0235294118 0.0392156863 0.0470588235 0.0352941176 0.0313725490 0.0313725490 0.0196078431 0.0274509804 0.0627450980 0.0784313725 0.1019607843 0.0784313725 0.0156862745 0.0313725490 0.0313725490 0.0470588235 0.0352941176 0.0431372549 0.0588235294
0.0549019608 0.0431372549 0.0352941176 0.0274509804 0.0235294118 0.0549019608 0.0549019608 0.0352941176 0.0196078431 0.0313725490 0.0470588235 0.0392156863 0.0235294118 0.0196078431 0.0196078431 0.0352941176 0.0235294118 0.0196078431 0.0156862745 0.0156862745 0.0156862745 0.0235294118 0.0235294118 0.0313725490 0.0627450980 0.0745098039 0.0313725490 0.0941176471 0.1294117647 0.1254901961 0.0901960784 0.0588235294 0.0352941176 0.0196078431 0.0196078431 0.0117647059 0.0117647059 0.0196078431 0.0196078431 0.0196078431 0.0078431373 0.0117647059 0.0313725490 0.0941176471 0.1215686275 0.1098039216 0.0274509804 0.0196078431 0.0274509804 0.0156862745 0.0196078431 0.0274509804 0.0196078431 0.0196078431 0.0313725490 0.0352941176 0.0705882353 0.1294117647 0.0705882353 0.0117647059 0.0235294118 0.0313725490 0.0745098039 0.0784313725 0.0470588235 0.0196078431 0.0196078431 0.0156862745 0.0196078431 0.0470588235 0.0470588235 0.0392156863 0.0627450980 0.1019607843 0.0509803922 0.0352941176 0.0235294118 0.0235294118 0.0274509804 0.0313725490 0.0274509804 0.0313725490 0.0352941176 0.0313725490 0.0431372549 0.0392156863 0.0352941176 0.0235294118 0.0274509804 0.0509803922 0.0509803922 0.0588235294 0.0745098039 0.0352941176 0.0509803922 0.0313725490 0.0352941176 0.0549019608 0.0549019608 0.0509803922
0.0431372549 0.0274509804 0.0313725490 0.0431372549 0.0392156863 0.0901960784 0.0980392157 0.0431372549 0.0235294118 0.0470588235 0.0588235294 0.0431372549 0.0392156863 0.0235294118 0.0156862745 0.0274509804 0.0274509804 0.0196078431 0.0156862745 0.0156862745 0.0235294118 0.0196078431 0.0274509804 0.0431372549 0.0823529412 0.0901960784 0.0509803922 0.0941176471 0.1137254902 0.0627450980 0.0666666667 0.0627450980 0.0431372549 0.0156862745 0.0156862745 0.0117647059 0.0156862745 0.0156862745 0.0196078431 0.0196078431 0.0117647059 0.0196078431 0.0313725490 0.0745098039 0.0941176471 0.1254901961 0.0313725490 0.0117647059 0.0196078431 0.0196078431 0.0156862745 0.0196078431 0.0156862745 0.0156862745 0.0156862745 0.0196078431 0.0509803922 0.0666666667 0.0156862745 0.0117647059 0.0117647059 0.0117647059 0.0274509804 0.0352941176 0.0431372549 0.0509803922 0.0313725490 0.0196078431 0.0588235294 0.1215686275 0.0392156863 0.0549019608 0.1333333333 0.1372549020 0.0352941176 0.0235294118 0.0196078431 0.0196078431 0.0274509804 0.0313725490 0.0392156863 0.0274509804 0.0235294118 0.0431372549 0.0470588235 0.0470588235 0.0431372549 0.0392156863 0.0431372549 0.0509803922 0.0666666667 0.0745098039 0.0588235294 0.0549019608 0.0509803922 0.0509803922 0.0627450980 0.0666666667 0.0431372549 0.0431372549
0.0235294118 0.0235294118 0.0235294118 0.0274509804 0.0549019608 0.0901960784 0.1019607843 0.0470588235 0.0352941176 0.0509803922 0.0705882353 0.0784313725 0.0470588235 0.0196078431 0.0156862745 0.0117647059 0.0156862745 0.0274509804 0.0352941176 0.0235294118 0.0313725490 0.0274509804 0.0235294118 0.0431372549 0.0745098039 0.1058823529 0.0823529412 0.0470588235 0.0431372549 0.0352941176 0.0156862745 0.0196078431 0.0274509804 0.0235294118 0.0156862745 0.0235294118 0.0196078431 0.0156862745 0.0196078431 0.0156862745 0.0156862745 0.0156862745 0.0274509804 0.0588235294 0.0549019608 0.0470588235 0.0313725490 0.0156862745 0.0156862745 0.0156862745 0.0156862745 0.0156862745 0.0156862745 0.0196078431 0.0156862745 0.0156862745 0.0313725490 0.0941176471 0.0313725490 0.0117647059 0.0117647059 0.0078431373 0.0156862745 0.0196078431 0.0117647059 0.0156862745 0.0196078431 0.0235294118 0.0705882353 0.1490196078 0.0980392157 0.1058823529 0.0980392157 0.0313725490 0.0156862745 0.0156862745 0.0196078431 0.0196078431 0.0235294118 0.0235294118 0.0235294118 0.0313725490 0.0196078431 0.0392156863 0.0470588235 0.0392156863 0.0470588235 0.0509803922 0.0666666667 0.0980392157 0.1098039216 0.1019607843 0.0705882353 0.0392156863 0.0313725490 0.0588235294 0.0823529412 0.0705882353 0.0509803922 0.0274509804
0.0274509804 0.0235294118 0.0235294118 0.0117647059 0.0352941176 0.0784313725 0.1058823529 0.0313725490 0.0392156863 0.0549019608 0.0862745098 0.1176470588 0.0549019608 0.0156862745 0.0196078431 0.0117647059 0.0117647059 0.0313725490 0.0431372549 0.0392156863 0.0392156863 0.0392156863 0.0352941176 0.0431372549 0.0627450980 0.1058823529 0.0745098039 0.0196078431 0.0156862745 0.0235294118 0.0156862745 0.0156862745 0.0274509804 0.0313725490 0.0235294118 0.0196078431 0.0156862745 0.0117647059 0.0196078431 0.0156862745 0.0117647059 0.0156862745 0.0156862745 0.0235294118 0.0274509804 0.0235294118 0.0196078431 0.0156862745 0.0156862745 0.0156862745 0.0196078431 0.0156862745 0.0156862745 0.0156862745 0.0117647059 0.0117647059 0.0313725490 0.1058823529 0.0627450980 0.0196078431 0.0196078431 0.0156862745 0.0196078431 0.0196078431 0.0117647059 0.0196078431 0.0196078431 0.0117647059 0.0666666667 0.1803921569 0.1882352941 0.1176470588 0.0745098039 0.0352941176 0.0117647059 0.0196078431 0.0196078431 0.0196078431 0.0235294118 0.0156862745 0.0235294118 0.0352941176 0.0274509804 0.0352941176 0.0588235294 0.0392156863 0.0352941176 0.0313725490 0.0627450980 0.1137254902 0.0980392157 0.0784313725 0.0470588235 0.0470588235 0.0588235294 0.0588235294 0.0862745098 0.0980392157 0.0588235294 0.0235294118
0.0235294118 0.0274509804 0.0313725490 0.0274509804 0.0470588235 0.0745098039 0.0901960784 0.0431372549 0.0235294118 0.0745098039 0.0862745098 0.0705882353 0.0549019608 0.0235294118 0.0313725490 0.0196078431 0.0352941176 0.0352941176 0.0352941176 0.0549019608 0.0431372549 0.0392156863 0.0588235294 0.0862745098 0.0705882353 0.0941176471 0.0627450980 0.0235294118 0.0196078431 0.0196078431 0.0196078431 0.0196078431 0.0196078431 0.0196078431 0.0313725490 0.0235294118 0.0156862745 0.0156862745 0.0156862745 0.0274509804 0.0196078431 0.0117647059 0.0117647059 0.0156862745 0.0156862745 0.0196078431 0.0156862745 0.0117647059 0.0117647059 0.0156862745 0.0274509804 0.0196078431 0.0156862745 0.0156862745 0.0156862745 0.0117647059 0.0274509804 0.0588235294 0.0509803922 0.0235294118 0.0117647059 0.0156862745 0.0156862745 0.0156862745 0.0117647059 0.0196078431 0.0156862745 0.0196078431 0.0549019608 0.1098039216 0.0784313725 0.0862745098 0.1058823529 0.0666666667 0.0274509804 0.0156862745 0.0196078431 0.0196078431 0.0274509804 0.0235294118 0.0235294118 0.0274509804 0.0431372549 0.0392156863 0.0705882353 0.0431372549 0.0352941176 0.0313725490 0.0392156863 0.0666666667 0.0862745098 0.0627450980 0.0627450980 0.0627450980 0.0588235294 0.0784313725 0.0784313725 0.0784313725 0.0392156863 0.0196078431
